ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,7862.0,7895.5,7852.5,7894.5,6619
2025-09-12 04:30:00,7869.0,7874.0,7862.5,7863.5,4271
2025-09-12 05:00:00,7858.5,7869.0,7853.0,7869.0,4529
2025-09-12 05:30:00,7862.5,7871.0,7842.5,7857.5,6841
2025-09-12 06:00:00,7864.5,7879.5,7857.0,7862.5,5591
2025-09-12 06:30:00,7881.0,7889.5,7862.0,7864.5,7285
2025-09-12 07:00:00,7882.0,7886.5,7875.0,7881.0,9995
2025-09-12 07:30:00,7889.0,7890.0,7878.5,7882.5,3195
2025-09-12 08:00:00,7884.5,7890.0,7876.5,7888.5,4102
2025-09-12 08:30:00,7881.0,7888.5,7876.0,7885.0,5271
2025-09-12 09:00:00,7873.5,7880.0,7865.0,7880.0,14876
2025-09-12 09:30:00,7874.5,7879.0,7864.0,7873.5,35384
2025-09-15 04:00:00,7809.5,7845.0,7809.5,7845.0,24576
2025-09-15 04:30:00,7822.0,7828.0,7797.5,7809.0,16015
2025-09-15 05:00:00,7832.5,7844.0,7820.0,7822.5,14261
2025-09-15 05:30:00,7823.5,7839.5,7823.5,7833.5,7338
2025-09-15 06:00:00,7810.0,7826.5,7805.5,7824.5,10420
2025-09-15 06:30:00,7818.0,7820.0,7796.0,7810.5,14412
2025-09-15 07:00:00,7823.5,7825.5,7807.5,7817.0,6496
2025-09-15 07:30:00,7823.0,7826.5,7818.0,7823.5,5766
2025-09-15 08:00:00,7820.0,7823.5,7810.0,7823.5,6782
2025-09-15 08:30:00,7811.5,7821.0,7810.0,7820.5,6868
2025-09-15 09:00:00,7814.5,7819.5,7810.0,7814.0,7007
2025-09-15 09:30:00,7817.0,7823.0,7813.0,7813.5,42721
2025-09-16 04:00:00,7828.0,7845.0,7820.0,7845.0,17643
2025-09-16 04:30:00,7823.5,7837.0,7816.5,7828.0,11915
2025-09-16 05:00:00,7836.0,7836.0,7820.0,7821.0,5833
2025-09-16 05:30:00,7825.5,7834.0,7817.0,7824.0,17851
2025-09-16 06:00:00,7820.5,7833.0,7817.0,7825.5,8778
2025-09-16 06:30:00,7827.5,7830.0,7815.0,7820.5,7916
2025-09-16 07:00:00,7835.0,7835.0,7824.0,7825.5,8239
2025-09-16 07:30:00,7840.0,7843.5,7834.5,7835.0,6643
2025-09-16 08:00:00,7832.5,7835.5,7830.0,7835.5,7821
2025-09-16 08:30:00,7829.0,7842.0,7820.0,7831.5,16940
2025-09-16 09:00:00,7831.5,7835.5,7824.5,7829.5,5220
2025-09-16 09:30:00,7851.5,7861.5,7835.0,7837.5,58229
2025-09-17 04:00:00,7892.5,7911.0,7874.0,7879.5,25103
2025-09-17 04:30:00,7896.0,7905.0,7891.0,7896.0,14360
2025-09-17 05:00:00,7885.0,7903.5,7865.0,7899.0,33544
2025-09-17 05:30:00,7886.5,7890.0,7875.5,7885.0,16240
2025-09-17 06:00:00,7872.5,7890.0,7865.0,7888.0,15856
2025-09-17 06:30:00,7882.0,7884.0,7868.5,7872.5,12424
2025-09-17 07:00:00,7884.5,7893.0,7878.0,7882.0,11385
2025-09-17 07:30:00,7876.0,7889.0,7875.0,7885.0,9105
2025-09-17 08:00:00,7880.0,7885.0,7874.5,7876.0,11820
2025-09-17 08:30:00,7878.5,7890.0,7874.0,7880.0,16450
2025-09-17 09:00:00,7891.5,7895.0,7874.0,7878.5,19207
2025-09-17 09:30:00,7869.5,7899.0,7866.5,7894.0,39952
2025-09-18 04:00:00,7852.5,7856.0,7835.0,7849.0,13682
2025-09-18 04:30:00,7828.5,7852.0,7821.0,7852.0,12399
2025-09-18 05:00:00,7832.0,7836.0,7824.0,7828.5,8410
2025-09-18 05:30:00,7833.0,7840.0,7828.0,7832.0,7958
2025-09-18 06:00:00,7833.0,7835.0,7830.0,7834.5,6685
2025-09-18 06:30:00,7836.5,7839.0,7830.0,7833.0,8179
2025-09-18 07:00:00,7841.0,7847.0,7835.0,7837.0,7340
2025-09-18 07:30:00,7841.5,7849.0,7838.0,7841.5,5453
2025-09-18 08:00:00,7838.5,7850.0,7838.0,7840.0,7979
2025-09-18 08:30:00,7837.0,7848.0,7831.0,7838.5,41596
2025-09-18 09:00:00,7865.0,7866.0,7836.0,7837.0,25183
2025-09-18 09:30:00,7850.5,7870.5,7836.5,7866.0,104279
2025-09-19 04:00:00,7818.0,7850.0,7818.0,7842.5,11957
2025-09-19 04:30:00,7822.0,7832.0,7817.5,7818.0,6535
2025-09-19 05:00:00,7824.0,7829.0,7820.5,7823.5,2961
2025-09-19 05:30:00,7823.5,7825.5,7820.0,7824.0,2884
2025-09-19 06:00:00,7817.5,7825.0,7813.0,7822.5,6610
2025-09-19 06:30:00,7818.5,7820.0,7811.0,7816.5,5623
2025-09-19 07:00:00,7830.0,7830.0,7814.0,7819.0,4632
2025-09-19 07:30:00,7829.0,7830.0,7824.5,7830.0,2869
2025-09-19 08:00:00,7830.5,7839.0,7828.5,7829.0,11989
2025-09-19 08:30:00,7825.5,7835.0,7825.0,7830.5,4721
2025-09-19 09:00:00,7828.0,7841.0,7825.0,7826.5,11249
2025-09-19 09:30:00,7808.0,7830.0,7800.0,7830.0,123100
2025-09-22 04:00:00,7750.5,7754.5,7723.5,7732.5,36693
2025-09-22 04:30:00,7758.0,7761.5,7744.0,7750.5,13198
2025-09-22 05:00:00,7752.0,7760.0,7750.0,7758.5,12671
