ds,Close,High,Low,Open,Volume
2015-12-07,803.4395751953125,805.6522386075826,775.3659685287065,776.2879256851021,1602605
2015-12-08,793.5745849609375,808.9251934000652,790.3016484643687,805.8366033086467,1058074
2015-12-09,774.4439697265625,798.8297464562403,771.6320118051289,798.8297464562403,751034
2015-12-10,792.1455688476562,793.9894830878641,776.4722978058894,778.5927879277691,636140
2015-12-11,791.4080810546875,796.1561268600033,782.511171587709,793.7590606545818,780634
2015-12-14,807.1273193359375,809.8471039169746,786.4293720870259,792.8830715062628,889790
2015-12-15,809.9854736328125,811.3223228054317,798.8298142029581,809.9393870279224,861784
2015-12-16,798.8759155273438,814.9640799564902,792.0534097238713,811.3223377542556,900351
2015-12-17,807.7266235351562,809.9393431680681,796.5709647094035,803.4856432225059,716229
2015-12-18,810.8153076171875,816.7619430816118,800.2588859434119,806.2516080155688,1098597
2015-12-21,805.3297119140625,815.0102636886448,799.0604134477423,810.4004771293199,896692
2015-12-22,812.1981201171875,817.7759493289389,805.3756150548794,805.7905070050649,663204
2015-12-23,810.3541870117188,814.9639724133762,806.4819560199676,814.0420153330447,350212
2015-12-24,812.9818115234375,814.9179553203494,805.3756649619532,811.7832784711393,403140
2015-12-28,812.2903442382812,817.0845327227208,808.325939706229,813.1662147942902,633270
2015-12-29,811.4144287109375,815.9320410514664,810.0314930481385,814.7335080647331,602111
2015-12-30,809.61669921875,814.0881689175617,806.7125116680255,812.382570687326,450359
2015-12-31,814.5953979492188,817.7300754195095,806.7126739325824,811.2763740280488,526825
2016-01-01,810.169921875,816.4853064386468,808.4643234955637,813.1662828947368,294006
2016-01-04,812.0599975585938,822.8008228632654,803.670208441298,807.8190163882307,709103
2016-01-05,830.3607177734375,834.3712088098264,812.5208134131542,812.5208134131542,1372748
2016-01-06,817.222900390625,840.732809445215,815.0101805591189,833.9103035245737,1716479
2016-01-07,804.2693481445312,821.970937798092,801.180814005475,814.0882149215586,990333
2016-01-08,806.3436889648438,813.1201076802787,798.9680318738439,810.4003228736129,886022
2016-01-11,805.6522827148438,815.0101708732976,794.3583069306833,802.1027699771141,801102
2016-01-12,804.7763671875,816.3930040245864,802.2870717876115,813.1661542063074,998419
2016-01-13,800.7657470703125,814.5490155775101,783.7095424430528,811.276079457448,901426
2016-01-14,819.98876953125,826.9956218565419,784.677763179242,796.1100551539844,2296682
2016-01-15,810.6309204101562,825.1056606385741,806.0672207212996,823.3078327281996,1301590
2016-01-18,783.9401245117188,823.3077046208488,775.9652292210785,820.5418332727385,2335330
2016-01-19,779.5609130859375,800.627669244118,761.5366607593711,800.1666906359102,2443365
2016-01-20,774.7666625976562,789.1953143940709,765.224428676494,768.9122572484289,2247202
2016-01-21,778.5468139648438,789.1954089883039,775.3660501859388,783.6636654673579,1138753
2016-01-22,802.0565185546875,805.2372815191279,782.9259104433227,786.4293358551422,1774017
2016-01-25,810.0316162109375,813.1662933652852,800.3972079793255,802.1028063807235,1794107
2016-01-27,791.5463256835938,812.9818301199194,788.4117050344802,811.3223184501769,969509
2016-01-28,791.9151000976562,797.4929295645283,785.6458027727804,787.3514009804707,1392051
2016-01-29,802.0104370117188,806.7123953214473,791.9610829498552,796.5708680659777,1320575
2016-02-01,818.1448974609375,820.5419638353297,803.3013517677992,805.9750503384569,786217
2016-02-02,813.6273193359375,824.9212962898924,809.478511475301,820.4498258821519,920875
2016-02-03,796.2943115234375,814.9639416964708,792.0071887527648,807.8187745932112,540771
2016-02-04,819.942626953125,826.0275783374448,797.4929912683385,797.4929912683385,1658831
2016-02-05,829.0698852539062,832.9421161558228,817.2227595552143,819.6198253997472,1739178
2016-02-08,819.2511596679688,836.6761735599213,816.8540934149755,832.5273660877233,783143
2016-02-09,815.194580078125,824.5063254331452,809.9394127026433,815.8399613824479,636386
2016-02-10,808.1416015625,819.6199803709877,798.8759426225656,819.159001754356,707101
2016-02-11,788.9188232421875,806.4820974481142,785.5075701923902,806.4820974481142,1004015
2016-02-12,788.18115234375,805.0990427283207,780.4366901454606,792.8831110751283,1089266
2016-02-15,791.6846313476562,804.1310531145824,786.4294642361497,798.4149074191156,703958
2016-02-16,774.7205810546875,793.0214642255194,770.8483497745061,788.3194490025138,985215
2016-02-17,789.1953735351562,791.9151585651344,762.550787597503,778.1318869902709,1171983
2016-02-18,770.0646362304688,796.3864991028744,765.777513382366,794.726987645213,997874
