ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,9100.0,9205.0,9080.0,9189.0,71953
2025-09-12 04:30:00,9090.5,9112.0,9070.0,9097.0,40308
2025-09-12 05:00:00,9086.0,9103.5,9081.0,9096.5,19742
2025-09-12 05:30:00,9090.0,9101.0,9085.5,9085.5,25259
2025-09-12 06:00:00,9074.0,9100.0,9070.5,9090.0,15738
2025-09-12 06:30:00,9078.0,9090.0,9067.5,9070.5,11531
2025-09-12 07:00:00,9090.0,9091.0,9075.0,9078.0,34937
2025-09-12 07:30:00,9079.0,9092.0,9075.5,9090.0,35795
2025-09-12 08:00:00,9015.5,9077.5,8998.0,9075.0,32125
2025-09-12 08:30:00,9012.0,9030.0,9006.5,9015.0,22001
2025-09-12 09:00:00,8997.0,9026.0,8995.5,9013.0,39302
2025-09-12 09:30:00,8999.5,9029.0,8980.0,8997.0,95352
2025-09-15 04:00:00,8999.5,9078.0,8986.5,9073.5,48409
2025-09-15 04:30:00,8995.0,9015.0,8980.0,8999.0,16333
2025-09-15 05:00:00,8970.5,8995.5,8964.0,8995.0,18438
2025-09-15 05:30:00,9006.5,9018.0,8968.5,8971.0,23122
2025-09-15 06:00:00,9006.0,9027.0,9000.5,9008.0,20133
2025-09-15 06:30:00,8989.5,9012.0,8987.0,9005.5,20407
2025-09-15 07:00:00,8994.0,9000.0,8982.5,8989.0,9368
2025-09-15 07:30:00,8994.5,9007.5,8990.5,8996.0,17156
2025-09-15 08:00:00,8981.0,9000.0,8978.5,8994.0,14186
2025-09-15 08:30:00,8996.0,8996.0,8975.5,8983.5,8122
2025-09-15 09:00:00,9008.0,9012.0,8989.5,8996.0,34010
2025-09-15 09:30:00,9025.0,9040.0,9005.0,9008.5,70497
2025-09-16 04:00:00,9067.0,9069.5,9035.0,9047.0,14739
2025-09-16 04:30:00,9067.0,9074.5,9050.0,9068.5,14292
2025-09-16 05:00:00,9068.0,9070.5,9064.5,9066.0,10548
2025-09-16 05:30:00,9041.5,9061.0,9035.0,9061.0,18333
2025-09-16 06:00:00,9046.0,9050.0,9022.0,9043.5,11214
2025-09-16 06:30:00,9057.0,9068.0,9045.0,9046.5,14084
2025-09-16 07:00:00,9055.0,9067.5,9053.5,9056.5,8635
2025-09-16 07:30:00,9046.5,9058.0,9040.0,9053.0,10367
2025-09-16 08:00:00,9056.5,9057.0,9050.0,9051.5,8253
