ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,6228.0,6241.0,6217.0,6231.0,24146
2025-09-12 04:30:00,6229.5,6240.0,6226.5,6228.0,9778
2025-09-12 05:00:00,6229.5,6235.0,6222.5,6229.5,12915
2025-09-12 05:30:00,6231.0,6238.5,6228.5,6231.0,9675
2025-09-12 06:00:00,6229.5,6233.5,6228.0,6232.0,8984
2025-09-12 06:30:00,6221.0,6233.5,6207.5,6229.5,27314
2025-09-12 07:00:00,6235.0,6241.0,6208.0,6221.5,12298
2025-09-12 07:30:00,6240.0,6247.5,6227.0,6232.0,10184
2025-09-12 08:00:00,6251.0,6256.0,6239.5,6240.0,12065
2025-09-12 08:30:00,6238.0,6251.5,6238.0,6248.0,9240
2025-09-12 09:00:00,6240.0,6251.5,6231.5,6238.0,13507
2025-09-12 09:30:00,6247.0,6252.5,6239.5,6240.0,46410
2025-09-15 04:00:00,6236.0,6268.0,6234.0,6256.0,9014
2025-09-15 04:30:00,6240.0,6245.0,6232.0,6236.0,5887
2025-09-15 05:00:00,6242.5,6245.0,6235.0,6241.0,5337
2025-09-15 05:30:00,6231.5,6243.5,6225.0,6243.0,19461
2025-09-15 06:00:00,6227.5,6236.0,6218.0,6231.5,23912
2025-09-15 06:30:00,6227.5,6230.5,6222.5,6228.5,6217
2025-09-15 07:00:00,6223.0,6228.0,6215.5,6226.0,3250
2025-09-15 07:30:00,6220.5,6226.5,6213.0,6222.0,14079
2025-09-15 08:00:00,6238.5,6242.0,6219.0,6221.5,16574
2025-09-15 08:30:00,6229.0,6239.5,6228.0,6237.5,4285
2025-09-15 09:00:00,6222.0,6244.5,6220.0,6229.0,13450
2025-09-15 09:30:00,6212.0,6227.0,6205.0,6222.5,36155
2025-09-16 04:30:00,6218.5,6220.0,6212.0,6212.0,937
2025-09-16 05:00:00,6218.5,6224.0,6215.0,6218.5,3960
2025-09-16 05:30:00,6216.5,6220.0,6215.0,6218.5,10200
2025-09-16 06:00:00,6217.5,6219.5,6214.0,6215.5,8281
2025-09-16 06:30:00,6211.0,6220.0,6207.5,6219.5,9691
2025-09-16 07:00:00,6210.5,6215.0,6208.0,6214.0,2146
2025-09-16 09:30:00,6204.0,6205.5,6195.5,6199.5,170013
2025-09-17 04:00:00,6086.0,6117.0,6082.0,6106.0,57581
2025-09-17 04:30:00,6066.0,6086.0,6058.0,6086.0,47359
2025-09-17 05:00:00,6055.0,6075.0,6047.0,6065.5,35569
2025-09-17 05:30:00,6055.0,6065.0,6035.0,6052.5,29647
2025-09-17 06:00:00,6042.5,6056.0,6040.0,6054.0,20668
2025-09-17 06:30:00,6071.0,6071.5,6037.5,6046.0,42132
2025-09-17 07:00:00,6071.5,6072.5,6055.0,6071.0,32750
2025-09-17 07:30:00,6077.5,6081.0,6063.5,6067.5,42095
2025-09-17 08:00:00,6087.0,6088.0,6058.0,6074.5,42627
2025-09-17 08:30:00,6095.5,6103.0,6083.0,6087.0,52145
2025-09-17 09:00:00,6091.5,6096.5,6076.5,6095.5,71119
2025-09-17 09:30:00,6097.5,6107.0,6090.5,6094.0,97105
2025-09-18 04:00:00,6107.0,6122.5,6107.0,6120.0,14738
2025-09-18 04:30:00,6106.0,6109.0,6092.5,6104.5,15337
2025-09-18 05:00:00,6106.0,6109.0,6101.5,6106.0,7076
2025-09-18 05:30:00,6101.0,6107.0,6099.0,6106.5,6742
2025-09-18 06:00:00,6092.0,6105.5,6090.0,6102.5,8132
2025-09-18 06:30:00,6080.0,6095.5,6072.0,6093.5,15833
2025-09-18 07:00:00,6080.0,6087.0,6078.0,6080.5,9615
2025-09-18 07:30:00,6072.0,6082.0,6066.0,6081.5,10799
2025-09-18 08:00:00,6069.0,6076.5,6066.0,6072.0,6535
2025-09-18 08:30:00,6067.0,6071.0,6062.0,6069.5,15901
2025-09-18 09:00:00,6094.0,6095.0,6062.5,6067.0,29832
2025-09-18 09:30:00,6100.5,6107.0,6080.0,6093.0,110813
2025-09-19 04:00:00,6052.5,6086.0,6052.0,6085.5,67868
2025-09-19 04:30:00,6063.0,6072.5,6049.0,6052.0,12116
2025-09-19 05:00:00,6063.5,6068.5,6063.0,6068.0,4698
2025-09-19 05:30:00,6075.5,6078.0,6063.5,6063.5,6189
2025-09-19 06:00:00,6072.0,6077.5,6069.0,6073.0,6143
2025-09-19 06:30:00,6069.5,6075.5,6067.0,6074.0,5880
2025-09-19 07:00:00,6075.5,6076.5,6069.0,6069.5,11017
2025-09-19 07:30:00,6075.5,6079.0,6075.0,6075.0,11675
2025-09-19 08:00:00,6072.5,6078.5,6070.0,6075.5,8409
2025-09-19 08:30:00,6076.5,6077.5,6069.5,6074.0,9982
2025-09-19 09:00:00,6083.0,6085.0,6075.0,6077.5,31777
2025-09-19 09:30:00,6076.0,6094.0,6058.0,6085.0,155391
2025-09-22 04:00:00,6067.5,6093.5,6055.0,6093.5,90072
2025-09-22 04:30:00,6081.5,6087.0,6064.5,6068.0,10127
2025-09-22 05:00:00,6084.0,6090.0,6081.5,6081.5,31126
2025-09-22 05:30:00,6088.5,6089.5,6082.5,6084.0,8575
2025-09-22 06:00:00,6088.0,6098.5,6078.0,6086.0,18490
2025-09-22 06:30:00,6093.0,6094.5,6084.0,6088.0,4373
2025-09-22 07:00:00,6091.5,6105.0,6089.5,6092.5,12578
2025-09-22 07:30:00,6069.0,6101.0,6060.5,6092.0,12106
2025-09-22 08:00:00,6045.0,6082.5,6044.0,6074.0,29007
2025-09-22 08:30:00,6051.0,6066.0,6043.5,6045.0,28847
2025-09-22 09:00:00,6039.5,6057.5,6026.0,6051.0,38675
2025-09-22 09:30:00,6056.5,6070.5,6034.5,6039.0,75940
2025-09-23 04:00:00,5999.0,6020.0,5987.0,6016.5,16417
2025-09-23 04:30:00,5988.5,5999.0,5958.0,5999.0,22179
2025-09-23 05:00:00,5975.5,5999.0,5960.0,5987.0,15562
2025-09-23 05:30:00,5965.5,5977.5,5960.0,5973.0,11169
2025-09-23 06:00:00,5971.0,5978.0,5959.0,5964.0,12043
2025-09-23 06:30:00,5979.0,5992.0,5974.0,5974.0,8232
2025-09-23 07:00:00,5989.0,5999.5,5979.5,5979.5,14498
2025-09-23 07:30:00,5976.0,5993.0,5967.0,5991.0,19285
2025-09-23 08:00:00,5966.5,5977.5,5959.0,5976.0,32147
