ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,5334.5,5389.5,5327.5,5354.5,82482
2025-09-12 04:30:00,5333.0,5350.5,5331.0,5335.0,25134
2025-09-12 05:00:00,5350.5,5354.5,5333.0,5333.0,24223
2025-09-12 05:30:00,5344.0,5355.0,5344.0,5350.5,36975
2025-09-12 06:00:00,5315.0,5344.0,5312.0,5344.0,27284
2025-09-12 06:30:00,5315.0,5320.0,5306.0,5315.0,45683
2025-09-12 07:00:00,5313.0,5320.0,5312.0,5315.0,27461
2025-09-12 07:30:00,5310.0,5315.0,5303.5,5313.0,19581
2025-09-12 08:00:00,5295.5,5310.0,5286.0,5310.0,36926
2025-09-12 08:30:00,5294.5,5300.0,5290.0,5296.0,20655
2025-09-12 09:00:00,5293.5,5299.0,5288.0,5294.5,35086
2025-09-12 09:30:00,5309.0,5317.0,5293.5,5293.5,113303
2025-09-15 04:00:00,5327.0,5350.0,5319.5,5340.0,44187
2025-09-15 04:30:00,5312.0,5328.0,5303.5,5327.5,40439
2025-09-15 05:00:00,5311.5,5320.0,5308.0,5313.0,15755
2025-09-15 05:30:00,5308.0,5314.5,5300.0,5311.5,28664
2025-09-15 06:00:00,5286.0,5316.5,5281.5,5307.5,29302
2025-09-15 06:30:00,5281.5,5288.5,5274.5,5288.5,10116
2025-09-15 07:00:00,5283.0,5285.5,5277.5,5281.5,6775
2025-09-15 07:30:00,5278.5,5291.0,5276.0,5283.0,128418
2025-09-15 08:00:00,5285.0,5288.0,5269.5,5278.0,31460
2025-09-15 08:30:00,5280.0,5287.5,5278.0,5287.0,17108
2025-09-15 09:00:00,5290.0,5300.0,5279.5,5279.5,60035
2025-09-15 09:30:00,5289.0,5297.5,5282.0,5290.0,111736
2025-09-16 04:00:00,5324.5,5325.0,5284.0,5313.5,66125
2025-09-16 04:30:00,5323.0,5338.5,5320.0,5324.5,70274
2025-09-16 05:00:00,5342.5,5344.0,5323.5,5325.0,56116
2025-09-16 05:30:00,5343.0,5349.0,5335.5,5340.5,31082
2025-09-16 06:00:00,5329.0,5348.0,5326.5,5344.0,32157
2025-09-16 06:30:00,5329.5,5340.0,5325.0,5329.0,34783
2025-09-16 07:00:00,5332.5,5335.5,5325.0,5331.0,25947
2025-09-16 07:30:00,5331.5,5338.5,5327.5,5332.5,28330
2025-09-16 08:00:00,5333.5,5334.5,5329.0,5331.5,18714
2025-09-17 04:00:00,5353.5,5357.0,5313.5,5326.0,63939
2025-09-17 04:30:00,5359.5,5375.0,5351.0,5355.5,47054
2025-09-17 05:00:00,5369.0,5379.5,5357.0,5359.5,36379
2025-09-17 05:30:00,5380.0,5386.5,5364.0,5369.0,50435
2025-09-17 06:00:00,5375.0,5384.5,5369.5,5380.0,28037
2025-09-17 06:30:00,5378.5,5380.5,5369.5,5375.0,26922
2025-09-17 07:00:00,5375.0,5380.0,5372.0,5379.0,20694
2025-09-17 07:30:00,5370.0,5376.0,5367.0,5375.5,28216
2025-09-17 08:00:00,5369.0,5370.0,5363.0,5369.5,24462
2025-09-17 08:30:00,5352.5,5369.0,5351.0,5369.0,33353
2025-09-17 09:00:00,5350.0,5363.5,5349.0,5354.0,69259
2025-09-17 09:30:00,5350.0,5357.0,5344.5,5350.0,152658
2025-09-18 04:00:00,5360.0,5379.0,5359.0,5371.5,29184
2025-09-18 04:30:00,5370.0,5374.0,5351.5,5360.0,28164
2025-09-18 05:00:00,5373.5,5378.0,5370.5,5372.5,29575
2025-09-18 05:30:00,5380.0,5380.5,5372.5,5374.0,30819
2025-09-18 06:00:00,5370.5,5382.0,5364.0,5381.0,26608
2025-09-18 06:30:00,5363.5,5372.0,5363.5,5372.0,19215
2025-09-18 07:00:00,5352.0,5365.0,5340.5,5365.0,19032
2025-09-18 07:30:00,5357.0,5360.0,5347.0,5352.0,10670
2025-09-18 08:00:00,5361.5,5367.5,5351.5,5357.5,17747
2025-09-18 08:30:00,5354.0,5365.0,5350.0,5361.5,23380
2025-09-18 09:00:00,5360.0,5369.5,5344.5,5355.0,34902
