ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,5312.0,5338.0,5308.5,5338.0,7280
2025-09-12 04:30:00,5323.5,5334.0,5309.5,5309.5,6416
2025-09-12 05:00:00,5301.0,5323.5,5298.0,5323.5,9570
2025-09-12 05:30:00,5317.0,5318.5,5301.0,5301.0,2932
2025-09-12 06:00:00,5305.0,5317.0,5298.0,5315.5,4262
2025-09-12 06:30:00,5313.5,5319.5,5305.0,5305.0,3655
2025-09-12 07:00:00,5309.5,5315.0,5305.0,5313.5,1519
2025-09-12 07:30:00,5317.5,5320.0,5303.5,5309.5,4441
2025-09-12 08:00:00,5325.0,5325.0,5315.0,5317.5,6365
2025-09-12 08:30:00,5336.5,5339.5,5321.0,5321.0,6127
2025-09-12 09:00:00,5332.0,5336.5,5321.5,5336.5,23397
2025-09-12 09:30:00,5336.0,5336.0,5330.0,5331.0,18184
2025-09-15 04:00:00,5338.0,5341.0,5317.5,5324.5,6190
2025-09-15 04:30:00,5309.5,5338.0,5305.5,5338.0,7776
2025-09-15 05:00:00,5305.5,5314.5,5295.0,5309.5,6340
2025-09-15 05:30:00,5307.5,5309.5,5299.5,5306.0,3298
2025-09-15 06:00:00,5340.0,5340.0,5299.5,5307.5,7400
2025-09-15 06:30:00,5343.5,5345.0,5332.0,5340.5,3002
2025-09-15 07:00:00,5346.0,5350.0,5329.0,5343.5,6679
2025-09-15 07:30:00,5340.0,5348.5,5336.5,5348.0,5422
2025-09-15 08:00:00,5336.0,5344.5,5325.5,5340.0,4667
2025-09-15 08:30:00,5335.0,5340.5,5329.5,5336.0,2765
2025-09-15 09:00:00,5337.0,5338.0,5330.0,5332.5,2502
2025-09-15 09:30:00,5332.0,5349.5,5331.0,5335.0,25183
2025-09-16 04:00:00,5345.5,5350.0,5329.5,5331.5,7185
2025-09-16 04:30:00,5367.5,5372.5,5345.5,5345.5,10388
2025-09-16 05:00:00,5371.5,5375.0,5365.0,5368.0,4538
2025-09-16 05:30:00,5381.5,5387.0,5370.0,5373.5,18868
2025-09-16 06:00:00,5370.0,5382.0,5370.0,5382.0,10227
2025-09-16 06:30:00,5364.5,5378.0,5362.0,5370.5,11428
2025-09-16 07:00:00,5367.5,5373.0,5364.0,5364.5,3868
2025-09-16 07:30:00,5367.5,5370.5,5366.0,5369.0,4256
2025-09-16 08:00:00,5353.5,5370.0,5349.0,5367.5,7552
2025-09-16 08:30:00,5365.5,5370.0,5352.0,5352.0,38529
2025-09-16 09:00:00,5362.5,5367.0,5346.5,5366.5,20794
2025-09-16 09:30:00,5386.0,5386.0,5366.5,5366.5,58598
2025-09-17 04:00:00,5408.0,5442.5,5394.5,5440.0,19296
2025-09-17 04:30:00,5399.5,5414.5,5396.5,5408.0,5697
2025-09-17 05:00:00,5396.0,5410.5,5389.0,5397.5,4971
2025-09-17 05:30:00,5423.0,5423.0,5388.0,5394.0,25436
2025-09-17 06:00:00,5430.0,5432.0,5420.0,5420.5,9510
2025-09-17 06:30:00,5416.0,5433.0,5412.0,5430.0,7633
2025-09-17 07:00:00,5412.0,5418.5,5407.5,5415.5,3244
2025-09-17 07:30:00,5430.0,5434.0,5408.0,5412.0,12888
2025-09-17 08:00:00,5420.0,5432.5,5412.5,5430.0,31932
2025-09-17 08:30:00,5410.0,5421.5,5395.5,5420.0,37226
2025-09-17 09:00:00,5420.0,5420.0,5403.0,5410.0,16517
2025-09-17 09:30:00,5423.0,5431.0,5417.0,5419.0,33296
2025-09-18 04:00:00,5573.5,5613.0,5564.0,5609.5,103524
2025-09-18 04:30:00,5544.5,5576.5,5528.0,5576.5,59788
2025-09-18 05:00:00,5547.0,5569.0,5541.0,5547.0,27799
2025-09-18 05:30:00,5569.0,5570.0,5546.0,5546.0,19280
2025-09-18 06:00:00,5567.0,5575.0,5560.0,5570.0,25133
2025-09-18 06:30:00,5563.5,5569.5,5557.5,5566.0,17592
2025-09-18 07:00:00,5560.0,5566.0,5550.0,5563.5,19136
2025-09-18 07:30:00,5555.0,5562.5,5546.5,5562.5,14924
2025-09-18 08:00:00,5530.0,5557.0,5520.5,5553.5,32748
2025-09-18 08:30:00,5509.5,5533.0,5502.5,5530.0,24377
2025-09-18 09:00:00,5513.0,5524.0,5508.0,5509.5,23833
2025-09-18 09:30:00,5524.5,5538.5,5508.0,5513.0,83261
2025-09-19 04:00:00,5519.0,5543.0,5479.5,5506.5,17660
2025-09-19 04:30:00,5526.5,5536.0,5510.5,5519.0,7898
2025-09-19 05:00:00,5528.5,5531.0,5520.0,5529.0,4397
2025-09-19 05:30:00,5524.0,5529.0,5514.0,5527.0,2751
2025-09-19 06:00:00,5523.5,5525.0,5516.0,5524.5,2369
2025-09-19 06:30:00,5513.0,5523.5,5513.0,5523.0,2463
2025-09-19 07:00:00,5498.5,5512.0,5490.0,5512.0,3137
2025-09-19 07:30:00,5509.5,5512.0,5495.5,5497.5,7061
2025-09-19 08:00:00,5504.5,5510.5,5501.0,5506.5,2805
2025-09-19 08:30:00,5493.0,5510.0,5493.0,5506.0,3339
2025-09-19 09:00:00,5506.5,5520.5,5493.0,5494.0,13326
2025-09-19 09:30:00,5521.0,5524.0,5496.5,5507.0,48805
2025-09-22 04:00:00,5322.5,5335.0,5300.0,5310.0,39720
2025-09-22 04:30:00,5314.0,5330.0,5300.0,5322.0,25477
2025-09-22 05:00:00,5282.5,5321.0,5276.0,5313.5,29261
2025-09-22 05:30:00,5264.0,5291.5,5256.0,5282.5,27184
2025-09-22 06:00:00,5280.0,5290.0,5255.5,5261.0,17567
2025-09-22 06:30:00,5319.5,5330.0,5280.0,5282.5,49221
2025-09-22 07:00:00,5300.0,5329.0,5299.0,5317.0,18258
2025-09-22 07:30:00,5298.0,5302.0,5282.0,5300.0,39694
2025-09-22 08:00:00,5271.0,5300.0,5270.0,5297.0,32365
2025-09-22 08:30:00,5267.0,5272.5,5265.5,5271.0,35402
2025-09-22 09:00:00,5254.5,5266.5,5243.5,5266.5,18414
2025-09-22 09:30:00,5255.0,5270.0,5252.5,5259.0,48143
2025-09-23 04:00:00,5247.5,5264.0,5227.0,5255.0,53279
2025-09-23 04:30:00,5240.0,5263.0,5229.0,5247.5,22016
2025-09-23 05:00:00,5227.0,5245.0,5217.0,5240.0,17875
2025-09-23 05:30:00,5229.5,5230.0,5220.0,5225.5,18143
2025-09-23 06:00:00,5239.0,5246.0,5224.0,5229.5,9314
2025-09-23 06:30:00,5278.5,5280.0,5237.5,5239.5,16878
2025-09-23 07:00:00,5268.5,5297.0,5263.0,5278.5,13085
2025-09-23 07:30:00,5265.5,5274.0,5258.5,5266.5,5162
2025-09-23 08:00:00,5278.5,5286.0,5265.0,5265.0,6345
2025-09-23 08:30:00,5288.0,5295.0,5276.0,5278.5,7524
2025-09-23 09:00:00,5272.0,5297.5,5269.5,5287.0,21980
2025-09-23 09:30:00,5262.5,5299.0,5250.0,5272.5,52727
2025-09-24 04:00:00,5234.5,5246.5,5207.0,5240.5,17372
2025-09-24 04:30:00,5237.5,5249.0,5227.5,5234.0,7186
2025-09-24 05:00:00,5218.0,5237.5,5218.0,5237.0,6463
2025-09-24 05:30:00,5211.0,5221.0,5194.5,5220.0,16624
2025-09-24 06:00:00,5215.0,5225.0,5208.0,5211.5,16689
2025-09-24 06:30:00,5211.5,5221.0,5209.0,5215.0,22135
2025-09-24 07:00:00,5214.0,5214.0,5195.0,5211.5,38908
2025-09-24 07:30:00,5210.0,5215.0,5198.0,5214.0,29748
