ds,Close,High,Low,Open,Volume
2015-12-07,215.4034881591797,219.28463494372775,214.81680910547882,219.28463494372775,7531729
2015-12-08,212.96649169921875,216.57685820828777,212.37981265047713,214.90707196131652,8254434
2015-12-09,211.5674591064453,214.99730983678356,210.8453968663357,212.47005067903672,7408777
2015-12-10,209.35610961914062,213.68855186228606,208.13761927642906,213.0116081921838,11713559
2015-12-11,205.15908813476562,211.11618485813688,203.1733892269752,210.21359319346342,12872949
2015-12-14,203.9405517578125,205.52008692221403,202.18050104339864,202.99282790468084,12464883
2015-12-15,204.3467254638672,205.02366913979313,202.18051120988585,204.8882859135897,10404430
2015-12-16,205.15908813476562,207.2350517180057,203.30877246769387,205.56525162937749,13030720
2015-12-17,208.4084014892578,209.76228893186223,206.24218709007283,207.59607453267725,14539096
2015-12-18,204.43699645996094,209.7171628046637,203.80518509735708,207.5509347111515,18871084
2015-12-21,208.00222778320312,208.4986559089057,204.43699378081016,204.79802490543682,9557098
2015-12-22,206.1068115234375,209.6269134961998,205.33960310176727,209.085352990026,9155574
2015-12-23,207.2801513671875,208.49865551228004,206.60320768045932,207.82171182555186,7914311
2015-12-24,206.06167602539062,208.49867072088387,205.42986462618208,208.36328748264472,7257958
2015-12-28,206.6031951904297,207.55091904904617,205.79086832444625,206.73859218306274,8756879
2015-12-29,205.9713897705078,207.5509249892578,205.33957843749866,206.55808254380173,7263286
2015-12-30,203.80516052246094,207.3252618128379,202.94770136428738,206.69345052641808,11702877
2015-12-31,202.586669921875,204.48211767910954,202.1805064803116,203.94055724205566,11558305
2016-01-01,205.61036682128906,206.60320930616342,202.6318118217567,203.08310761645998,6449426
2016-01-04,199.20196533203125,204.84316288772118,198.6152862952215,204.84316288772118,14092071
2016-01-05,196.539306640625,201.09739664441614,195.8623629897388,201.09739664441614,15074848
2016-01-06,195.72698974609375,198.4798830487351,195.3208125168933,196.67469988768266,11921123
2016-01-07,189.13807678222656,193.2448714089495,188.6416486365866,193.15460673794036,14342279
2016-01-08,188.5965118408203,191.8007147714939,188.28061304466956,191.34941897203154,11745840
2016-01-11,184.3994598388672,187.28775009793483,182.91017549027848,186.65593875570977,19287860
2016-01-12,179.97674560546875,185.0312636833616,179.25468339930157,184.8958804628187,20318816
2016-01-13,181.33065795898438,182.6845454413236,175.10278104920621,181.7368352216507,23788247
2016-01-14,176.9530792236328,181.87220050258662,175.3735439835359,177.81053845662314,20256636
2016-01-15,166.34762573242188,178.53261168034413,163.36907085732784,178.53261168034413,29090426
2016-01-18,163.3690948486328,169.82261988201347,161.69929472379417,166.88919690821206,35653244
2016-01-19,165.12911987304688,169.50669436122254,163.82036489148996,164.40704388487458,24501774
2016-01-20,156.7350311279297,163.05317254145334,154.79446463132953,163.05317254145334,28655794
2016-01-21,158.49508666992188,161.24797996597232,155.29088381223428,159.75870937065145,28697205
2016-01-22,166.61842346191406,167.34048576118877,160.9320933341647,162.37623170516966,21432409
2016-01-25,165.12911987304688,170.40928590332442,164.72295643359183,169.59694525196036,17534650
2016-01-27,166.43789672851562,168.0625644723099,163.41422292856382,166.43789672851562,16569813
2016-01-28,167.20510864257812,167.79178772532404,164.72298152372744,166.25738462452574,20241030
2016-01-29,162.37620544433594,167.65637123167693,160.75155176126484,166.2573516512961,24259147
2016-02-01,155.9226837158203,164.22652287267866,155.33600474193466,164.22652287267866,22915269
2016-02-02,152.8990020751953,160.11973442863933,152.1769398578141,156.23860180662635,35957332
2016-02-03,149.87533569335938,151.45487096974009,147.34807649665927,151.45487096974009,24132003
2016-02-04,146.987060546875,153.26006996624534,144.59518433221675,152.8087741263992,23811109
2016-02-05,151.81588745117188,152.80874360953624,146.40033845453706,147.75422570369577,22732245
2016-02-08,155.3811492919922,159.66845969167053,152.131827568341,152.94415455613986,22289005
2016-02-09,150.77792358398438,155.60678018993886,149.9204643523153,151.63538281565346,19008384
2016-02-10,143.51205444335938,150.01071075800186,142.60946290597977,148.9276036676371,32294785
2016-02-11,139.22476196289062,151.18410132112922,137.37444632655883,143.96336812370214,72749830
2016-02-12,139.72116088867188,142.29353828852337,133.80918406584226,140.93965109730067,41187889
2016-02-15,151.5,153.44056635968488,142.60946755782476,143.51205912464644,35956266
2016-02-16,141.16531372070312,154.1175080464749,140.48837005432037,154.1175080464749,33816243
2016-02-17,143.4669189453125,144.27925957449602,136.5169670153837,139.90168520584774,32447698
2016-02-18,144.234130859375,147.7542323567079,141.1653113596285,146.17469716156677,21024178
2016-02-19,148.65682983398438,149.19839028864365,141.7971421188753,142.51920436181507,24592575
2016-02-22,148.88246154785156,150.55226129120274,147.75422220030424,149.7850530258894,15815058
2016-02-23,143.06076049804688,148.92760556579012,142.6094647236051,148.92760556579012,20200068
2016-02-24,141.0750732421875,145.04647086913548,140.1724816203852,140.8042930011558,19440950
2016-02-25,137.01339721679688,142.69972661893274,136.29132123720834,142.24843085324662,22713124
2016-02-26,140.71401977539062,143.24127891728523,137.69034628964803,140.35298865760038,30051402
2016-02-29,143.28640747070312,147.93474840880262,138.09650609774855,142.78997936749494,66981910
2016-03-01,146.26495361328125,147.03214811580733,143.1058834003484,144.86593405020608,23588231
2016-03-02,163.50445556640625,165.35477101868645,155.69704408227668,155.69704408227668,53333757
2016-03-03,164.94859313964844,166.61839288834702,161.11257934570312,166.07683249080884,33507048
2016-03-04,170.0482635498047,171.35703247719204,161.11261160824563,165.53530524145046,38860711
2016-03-08,165.49017333984375,168.73949479652967,163.7301087234607,168.73949479652967,27928279
2016-03-09,165.53529357910156,166.07685404693217,161.2931158226111,162.46648765460756,29453018
2016-03-10,162.9178009033203,166.75381560603006,161.92494453010704,166.75381560603006,20472928
2016-03-11,162.55673217773438,164.85832944964042,160.25512113337524,162.46646752013083,21869157
2016-03-14,164.04600524902344,165.53527571616806,163.09828141881627,164.67781654501044,14369755
2016-03-15,167.25021362304688,168.0625404928117,163.95574626799214,163.95574626799214,22369600
2016-03-16,167.15994262695312,167.79175392088047,163.91062149856117,166.9794270818958,19237834
2016-03-17,168.1979522705078,170.86059476928486,166.97944808630146,169.68722292013337,21560986
2016-03-18,172.62062072753906,173.2975643382353,167.88201545266546,168.6492237204357,21144216
2016-03-21,177.63002014160156,178.08131591748347,174.2001694904084,174.2001694904084,20678069
2016-03-22,178.26182556152344,178.9387692028963,175.55405099603195,177.6300142507328,16728809
2016-03-23,177.4495086669922,178.35210023951512,176.27613686822147,177.72027512078554,13362780
2016-03-28,169.95797729492188,178.93875970600374,169.37128457339765,176.72741334937348,19760603
2016-03-29,171.04110717773438,172.62064246829394,168.46871562412693,170.1385155831289,16804848
2016-03-30,178.3069610595703,178.9839047129685,171.94368796313668,173.5232231543991,20709407
2016-03-31,175.3284149169922,179.39007703862134,173.61349641906392,178.57775012327733,30132473
2016-04-01,176.59202575683594,178.03617770090713,173.29757221076892,174.83197504356104,21752206
2016-04-04,175.7345733642578,178.2167001455961,173.7940070260114,178.08131692105022,15732565
2016-04-05,166.3927459716797,175.5991763754181,165.44502215678312,175.01248364598067,36635637
2016-04-06,165.9414825439453,167.43075327704997,164.4521980383849,166.97945744611454,16350631
2016-04-07,164.2265167236328,167.56610243888147,163.3690575737309,165.89631646748364,19430601
2016-04-08,165.2645263671875,166.03172095859983,162.64700248116526,163.955757537949,15805231
