ds,Close,High,Low,Open,Volume
2015-12-07,718.881103515625,722.718981207908,704.7319140207717,707.7374632068571,7139702
2015-12-08,712.9163818359375,721.1931578185445,709.7720920101982,717.6327601301808,3655120
2015-12-09,702.0501098632812,717.077856577883,693.7270501444249,714.3959592018405,4935349
2015-12-10,699.8768920898438,711.9453184186929,678.1444565330257,711.9453184186929,4496091
2015-12-11,700.8015747070312,708.3848177261303,692.201091472596,702.5124596347339,2852880
2015-12-14,710.7892456054688,714.8583194192338,696.9637644022008,701.7725979801938,2629235
2015-12-15,715.5517578125,722.6726072728152,711.3440010909695,716.7077380351373,3549320
2015-12-16,725.1234130859375,726.4181338015835,717.4477139858175,721.3318196883962,2864795
2015-12-17,741.9083862304688,744.4515436778154,728.7302067305819,731.5507882469473,3491346
2015-12-18,730.7183837890625,748.1505463772162,727.990258641337,739.457550825498,4125199
2015-12-21,697.4723510742188,699.8767677479241,676.0173433878136,682.4908336801731,12310649
2015-12-22,706.2577514648438,711.0666409112564,699.32186950685,699.32186950685,3734881
2015-12-23,730.9496459960938,733.8164551903587,712.0840207896362,713.0088052322201,6651886
2015-12-24,731.3658447265625,738.3480132912354,727.2505986011529,737.0532923329778,2053955
2015-12-28,750.5550537109375,753.6993434885128,732.105648679195,732.105648679195,4287383
2015-12-29,750.3239135742188,758.2308665427407,744.9139465956848,753.6993997212702,2702847
2015-12-30,749.2140502929688,763.8718593998357,745.7923369704663,752.7744473988696,1919186
2015-12-31,758.4620361328125,762.9472184148377,743.6191996372485,750.9250198216342,2590518
2016-01-01,754.2078247070312,756.381101679021,745.5611140782722,749.1215110561484,986728
2016-01-04,738.9951171875,759.525340092925,735.295979959292,752.6819700873531,2388588
2016-01-05,740.2899780273438,746.3010771618568,732.4755378636037,746.3010771618568,1632394
2016-01-06,732.3829956054688,745.1912365958607,731.2732430688163,744.451420386212,2168214
2016-01-07,724.8460693359375,738.9028048216684,720.0834630963847,728.7301754686792,2082334
2016-01-08,734.4176025390625,745.1913076468812,726.8805866015174,735.2036467534432,2315237
2016-01-11,723.4127197265625,743.9891761201911,720.4996257942109,730.1174077649359,3424538
2016-01-12,728.8688354492188,734.2788015224908,725.0309576746005,725.0309576746005,1787888
2016-01-13,736.6832885742188,744.1278487369581,722.7190656104198,735.2036559952447,3447651
2016-01-14,732.2904663085938,736.4982802642727,726.60307641231,730.3946696764992,3233849
2016-01-15,727.8977661132812,738.9027228612997,721.5167877299057,737.7467423812288,2370237
2016-01-18,725.909423828125,737.5154551246009,716.7078090552548,727.8052202922394,4202772
2016-01-19,734.1863403320312,736.8681811618353,722.4877953716302,726.8805211674897,2169752
2016-01-20,732.9841918945312,744.45154258161,717.2628549704475,726.418244345161,4222563
2016-01-21,714.9970092773438,742.9717345540209,706.5352102935988,739.8274453336112,3264178
2016-01-22,729.8397827148438,734.2787360773219,715.1356897295083,720.4069715418561,1970106
2016-01-25,746.5323486328125,753.6069732137087,734.6951173543284,735.2037375820204,2905098
2016-01-27,759.3866577148438,761.3286821854948,748.4279297894418,755.5487802557537,3609838
2016-01-28,771.4089965820312,773.8596415874512,755.5489201720326,755.5489201720326,4368190
2016-01-29,807.2906494140625,811.9607999013872,775.9866598792623,779.5933420465483,4709689
2016-02-01,806.6893920898438,821.4859419626621,797.0716685391268,814.5500592097785,3252050
2016-02-02,772.3336181640625,816.9081755437659,768.5881966544822,813.6714305463977,2676955
2016-02-03,772.1026000976562,790.6907459330732,766.9237730412993,773.8596567775544,2630864
2016-02-04,772.749755859375,784.032135861665,756.6123146173873,776.8188294485142,2287218
2016-02-05,793.0488891601562,795.3146223382483,773.6284158239897,775.8941490020818,2250196
2016-02-08,772.7960205078125,799.7534489037042,767.5709666510606,790.6905740803095,1198192
2016-02-09,789.81201171875,796.1468179729299,765.8138481003344,767.5709608293721,2340243
2016-02-10,791.38427734375,800.6321216597739,775.1543218580003,787.0377792263463,3530848
2016-02-11,767.9411010742188,794.2974603434257,764.7968110748817,786.9916399331612,2067334
2016-02-12,783.6161499023438,818.1568860078642,742.0933583197925,781.4429288318604,5260215
2016-02-15,786.2517700195312,801.7881378728308,781.5353353418957,790.6907241998504,3592947
2016-02-16,765.5365600585938,792.6790176616798,758.5082207829438,786.6216343299074,1957372
2016-02-17,791.430419921875,794.7133930111273,765.7214267848772,769.3743361846183,1975343
2016-02-18,804.9786376953125,810.5735723421731,793.5575158441812,804.2850493561721,2342525
2016-02-19,799.19873046875,804.9324053296144,792.5402711607902,804.9324053296144,1561649
2016-02-22,816.0758666992188,819.1738713361927,802.712723096133,806.3656321456365,2302969
2016-02-23,805.57958984375,830.8724745882505,801.0944085181006,818.1566903260584,2470030
2016-02-24,790.2745361328125,804.5624670959758,785.6968418414973,801.1869812942072,1716644
2016-02-25,809.510009765625,813.8102798448222,791.1992897579887,792.9564027126708,3898475
2016-02-26,806.319580078125,823.058155952905,803.7301384769399,818.4342337284506,2409042
