ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,5183.0,5200.0,5175.0,5195.0,51706
2025-09-12 04:30:00,5188.0,5190.0,5174.5,5182.0,26725
2025-09-12 05:00:00,5185.5,5201.5,5182.5,5187.5,54973
2025-09-12 05:30:00,5190.0,5197.5,5180.0,5187.5,24663
2025-09-12 06:00:00,5187.0,5191.5,5180.0,5190.5,59382
2025-09-12 06:30:00,5176.0,5187.5,5176.0,5187.0,38445
2025-09-12 07:00:00,5148.5,5178.5,5132.0,5178.5,96091
2025-09-12 07:30:00,5148.0,5150.0,5134.5,5148.5,25678
2025-09-12 08:00:00,5150.0,5152.0,5144.5,5149.5,18629
2025-09-12 08:30:00,5140.0,5150.0,5137.0,5149.5,28050
2025-09-12 09:00:00,5128.5,5140.0,5125.0,5140.0,41814
2025-09-12 09:30:00,5130.0,5136.5,5125.0,5127.5,112550
2025-09-15 04:00:00,5132.5,5152.0,5128.5,5144.5,55473
2025-09-15 04:30:00,5116.0,5134.0,5109.0,5133.5,44443
2025-09-15 05:00:00,5136.5,5140.0,5114.5,5115.0,50780
2025-09-15 05:30:00,5157.0,5175.0,5134.5,5137.5,86767
2025-09-15 06:00:00,5165.0,5173.0,5152.0,5157.5,52303
2025-09-15 06:30:00,5154.0,5165.5,5148.0,5164.5,65473
2025-09-15 07:00:00,5142.0,5155.0,5134.5,5154.5,77436
2025-09-15 07:30:00,5157.5,5166.5,5142.0,5142.0,85009
2025-09-15 08:00:00,5150.5,5172.0,5148.5,5158.5,66704
2025-09-15 08:30:00,5143.5,5153.5,5138.5,5151.5,67944
2025-09-15 09:00:00,5136.5,5146.0,5132.0,5144.5,81047
2025-09-15 09:30:00,5135.0,5140.5,5127.0,5136.5,157696
2025-09-16 04:00:00,5138.5,5139.5,5130.0,5136.5,27820
2025-09-16 04:30:00,5151.0,5153.5,5133.0,5139.5,48114
2025-09-16 05:00:00,5133.5,5155.5,5131.0,5151.5,44213
2025-09-16 05:30:00,5125.5,5135.0,5123.5,5132.0,38556
2025-09-16 06:00:00,5125.5,5131.5,5121.5,5125.5,30925
2025-09-16 06:30:00,5132.0,5136.5,5125.0,5127.5,52941
2025-09-16 07:00:00,5127.5,5138.0,5127.5,5132.0,37604
2025-09-16 07:30:00,5122.0,5130.0,5121.0,5127.0,36964
2025-09-16 08:00:00,5123.0,5126.0,5116.0,5121.0,43260
2025-09-16 08:30:00,5128.0,5131.5,5118.0,5124.0,46385
2025-09-16 09:00:00,5145.0,5150.0,5126.5,5126.5,96512
2025-09-16 09:30:00,5147.5,5150.5,5142.0,5145.5,150803
2025-09-17 04:00:00,5197.5,5209.0,5177.5,5185.0,73415
2025-09-17 04:30:00,5181.5,5200.0,5172.0,5197.5,33546
2025-09-17 05:00:00,5189.5,5190.5,5171.0,5181.5,86866
2025-09-17 05:30:00,5201.5,5218.0,5186.5,5190.0,69591
2025-09-17 06:00:00,5208.5,5213.0,5191.0,5201.5,34890
2025-09-17 06:30:00,5220.0,5225.0,5205.0,5208.0,58431
2025-09-17 07:00:00,5231.0,5248.0,5217.0,5220.0,112594
2025-09-17 07:30:00,5214.0,5231.5,5211.0,5231.0,49696
2025-09-17 08:00:00,5206.5,5215.5,5201.0,5213.5,34208
2025-09-17 08:30:00,5197.5,5208.5,5195.0,5204.5,62523
2025-09-17 09:00:00,5198.5,5202.0,5180.0,5198.5,53138
2025-09-17 09:30:00,5203.0,5206.0,5192.5,5201.0,70923
2025-09-18 04:00:00,5191.0,5218.0,5190.0,5209.5,40056
2025-09-18 04:30:00,5187.0,5202.0,5184.0,5191.0,33625
2025-09-18 05:00:00,5194.0,5195.0,5186.0,5187.0,17630
2025-09-18 05:30:00,5191.0,5199.0,5182.5,5194.5,37435
2025-09-18 06:00:00,5190.0,5195.5,5184.0,5190.5,40741
2025-09-18 06:30:00,5182.0,5192.0,5168.0,5189.5,60300
2025-09-18 07:00:00,5152.5,5182.0,5145.0,5181.0,67318
2025-09-18 07:30:00,5147.0,5157.0,5135.0,5152.5,129294
2025-09-18 08:00:00,5143.5,5150.0,5138.5,5146.0,45180
2025-09-18 08:30:00,5139.5,5145.0,5134.0,5144.0,46545
2025-09-18 09:00:00,5146.5,5152.0,5135.0,5139.5,62779
2025-09-18 09:30:00,5148.0,5152.0,5139.0,5148.0,186226
2025-09-19 04:00:00,5109.0,5138.5,5106.0,5137.5,63189
2025-09-19 04:30:00,5118.0,5123.0,5108.0,5108.0,28671
2025-09-19 05:00:00,5117.0,5120.0,5112.5,5120.0,14943
2025-09-19 05:30:00,5120.0,5121.0,5113.0,5115.5,67394
2025-09-19 06:00:00,5109.0,5120.0,5109.0,5120.0,33358
2025-09-19 06:30:00,5102.5,5110.5,5096.5,5109.0,53226
2025-09-19 07:00:00,5096.5,5106.0,5090.5,5102.0,53758
2025-09-19 07:30:00,5102.5,5105.0,5096.5,5096.5,40750
2025-09-19 08:00:00,5110.5,5112.0,5100.0,5101.5,107053
2025-09-19 08:30:00,5088.0,5111.5,5087.0,5110.0,70887
2025-09-19 09:00:00,5095.5,5096.0,5077.5,5088.0,130437
2025-09-19 09:30:00,5082.0,5096.0,5074.0,5095.5,380391
2025-09-22 04:00:00,5123.0,5133.0,5112.5,5114.0,45383
2025-09-22 04:30:00,5116.0,5136.0,5111.0,5122.0,65773
2025-09-22 05:00:00,5099.5,5120.0,5096.0,5115.0,53709
2025-09-22 05:30:00,5085.0,5100.0,5077.5,5098.0,38343
2025-09-22 06:00:00,5091.0,5097.0,5081.0,5085.0,35302
2025-09-22 06:30:00,5091.5,5096.5,5085.0,5090.0,46140
2025-09-22 07:00:00,5087.5,5098.0,5086.5,5090.5,54510
2025-09-22 07:30:00,5080.5,5092.0,5080.0,5088.0,24462
2025-09-22 08:00:00,5062.5,5084.5,5061.0,5082.5,54295
2025-09-22 08:30:00,5050.0,5069.0,5050.0,5061.0,51548
2025-09-22 09:00:00,5024.5,5054.0,5020.0,5051.0,90636
2025-09-22 09:30:00,4992.5,5029.0,4990.0,5024.5,172615
2025-09-23 04:00:00,4933.0,4980.5,4913.0,4980.5,121306
2025-09-23 04:30:00,4875.0,4937.0,4846.0,4932.5,492499
2025-09-23 05:00:00,4897.5,4900.0,4870.5,4874.5,509243
2025-09-23 05:30:00,4919.0,4921.0,4886.0,4897.5,111545
2025-09-23 06:00:00,4910.0,4924.5,4903.0,4919.0,57090
2025-09-23 06:30:00,4923.5,4927.0,4909.0,4911.0,198742
2025-09-23 07:00:00,4930.0,4946.5,4917.0,4923.5,183784
2025-09-23 07:30:00,4910.0,4939.5,4900.5,4929.5,166406
2025-09-23 08:00:00,4907.0,4925.0,4903.5,4910.0,136889
2025-09-23 08:30:00,4906.0,4919.5,4894.0,4906.0,228513
2025-09-23 09:00:00,4882.5,4909.5,4874.0,4906.0,229253
2025-09-23 09:30:00,4905.0,4912.5,4882.5,4883.0,219499
2025-09-24 04:00:00,4924.0,4935.0,4901.0,4915.0,138075
2025-09-24 04:30:00,4935.0,4958.0,4922.0,4924.5,109921
2025-09-24 05:00:00,4920.5,4943.5,4915.0,4935.0,38211
2025-09-24 05:30:00,4910.5,4923.5,4905.0,4920.5,58638
2025-09-24 06:00:00,4916.0,4921.0,4905.5,4909.0,62538
2025-09-24 06:30:00,4917.0,4921.0,4905.5,4917.5,41214
2025-09-24 07:00:00,4923.5,4931.5,4910.0,4915.0,41564
2025-09-24 07:30:00,4935.0,4938.5,4924.0,4925.5,76034
