ds,Close,High,Low,Open,Volume
2025-09-12 04:00:00,12395.0,12429.0,12390.0,12402.0,6565
2025-09-12 04:30:00,12397.0,12408.0,12377.0,12395.0,4892
2025-09-12 05:00:00,12422.0,12433.0,12391.0,12395.0,4710
2025-09-12 05:30:00,12429.0,12439.0,12411.0,12422.0,9603
2025-09-12 06:00:00,12446.0,12450.0,12420.0,12429.0,6610
2025-09-12 06:30:00,12451.0,12475.0,12441.0,12450.0,10172
2025-09-12 07:00:00,12422.0,12473.0,12416.0,12450.0,17589
2025-09-12 07:30:00,12411.0,12428.0,12402.0,12426.0,8541
2025-09-12 08:00:00,12380.0,12420.0,12376.0,12411.0,19822
2025-09-12 08:30:00,12355.0,12380.0,12344.0,12376.0,16775
2025-09-12 09:00:00,12358.0,12364.0,12355.0,12355.0,9070
2025-09-12 09:30:00,12385.0,12386.0,12357.0,12357.0,28802
2025-09-15 04:00:00,12362.0,12367.0,12341.0,12359.0,4904
2025-09-15 04:30:00,12369.0,12376.0,12332.0,12361.0,8477
2025-09-15 05:00:00,12365.0,12378.0,12356.0,12364.0,3032
2025-09-15 05:30:00,12376.0,12398.0,12358.0,12365.0,15475
2025-09-15 06:00:00,12384.0,12401.0,12360.0,12379.0,31484
2025-09-15 06:30:00,12393.0,12394.0,12352.0,12381.0,18179
2025-09-15 07:00:00,12451.0,12454.0,12383.0,12393.0,23603
2025-09-15 07:30:00,12447.0,12462.0,12433.0,12452.0,7985
2025-09-15 08:00:00,12432.0,12456.0,12421.0,12449.0,9814
2025-09-15 08:30:00,12459.0,12460.0,12426.0,12432.0,8218
2025-09-15 09:00:00,12448.0,12481.0,12440.0,12459.0,25384
2025-09-15 09:30:00,12435.0,12453.0,12404.0,12444.0,13078
2025-09-16 04:00:00,12522.0,12535.0,12500.0,12513.0,9695
2025-09-16 04:30:00,12525.0,12528.0,12511.0,12524.0,7687
2025-09-16 05:00:00,12519.0,12525.0,12511.0,12524.0,2479
2025-09-16 05:30:00,12510.0,12539.0,12507.0,12525.0,10383
2025-09-16 06:00:00,12540.0,12549.0,12519.0,12521.0,5092
2025-09-16 09:30:00,12578.0,12599.0,12578.0,12585.0,133971
2025-09-17 04:00:00,12719.0,12756.0,12699.0,12723.0,23463
2025-09-17 04:30:00,12711.0,12735.0,12706.0,12719.0,6975
2025-09-17 05:00:00,12692.0,12718.0,12671.0,12711.0,20510
2025-09-17 05:30:00,12660.0,12695.0,12649.0,12692.0,12213
2025-09-17 06:00:00,12660.0,12673.0,12618.0,12660.0,21175
2025-09-17 06:30:00,12673.0,12695.0,12660.0,12660.0,7350
2025-09-17 07:00:00,12684.0,12688.0,12659.0,12673.0,5404
2025-09-17 07:30:00,12670.0,12689.0,12663.0,12684.0,5803
2025-09-17 08:00:00,12661.0,12682.0,12654.0,12670.0,5116
2025-09-17 08:30:00,12665.0,12665.0,12632.0,12661.0,14919
2025-09-17 09:00:00,12708.0,12709.0,12660.0,12665.0,16823
2025-09-17 09:30:00,12721.0,12741.0,12697.0,12707.0,61232
2025-09-18 04:00:00,12694.0,12729.0,12673.0,12677.0,16905
2025-09-18 04:30:00,12719.0,12720.0,12691.0,12694.0,5343
2025-09-18 05:00:00,12713.0,12726.0,12696.0,12717.0,10934
2025-09-18 05:30:00,12681.0,12721.0,12677.0,12716.0,14095
2025-09-18 06:00:00,12683.0,12703.0,12677.0,12683.0,5998
2025-09-18 06:30:00,12694.0,12700.0,12677.0,12681.0,11410
2025-09-18 07:00:00,12669.0,12698.0,12654.0,12688.0,6369
2025-09-18 07:30:00,12611.0,12676.0,12593.0,12667.0,15272
2025-09-18 08:00:00,12593.0,12615.0,12574.0,12608.0,17730
2025-09-18 08:30:00,12600.0,12630.0,12589.0,12593.0,20258
2025-09-18 09:00:00,12599.0,12600.0,12563.0,12600.0,17274
2025-09-18 09:30:00,12626.0,12648.0,12599.0,12599.0,38776
2025-09-19 04:00:00,12520.0,12558.0,12516.0,12545.0,14638
2025-09-19 04:30:00,12570.0,12573.0,12510.0,12524.0,12211
2025-09-19 05:00:00,12582.0,12615.0,12566.0,12572.0,11650
2025-09-19 05:30:00,12574.0,12590.0,12561.0,12581.0,9156
2025-09-19 06:00:00,12554.0,12576.0,12550.0,12569.0,9112
2025-09-19 06:30:00,12552.0,12572.0,12540.0,12559.0,46210
2025-09-19 07:00:00,12562.0,12581.0,12544.0,12552.0,40847
2025-09-19 07:30:00,12563.0,12571.0,12555.0,12567.0,14791
2025-09-19 08:00:00,12565.0,12582.0,12550.0,12561.0,10188
2025-09-19 08:30:00,12548.0,12570.0,12531.0,12570.0,88550
2025-09-19 09:00:00,12596.0,12604.0,12547.0,12549.0,92374
2025-09-19 09:30:00,12508.0,12599.0,12485.0,12599.0,209002
2025-09-22 04:00:00,12600.0,12611.0,12567.0,12609.0,67424
2025-09-22 04:30:00,12598.0,12600.0,12587.0,12600.0,41547
2025-09-22 05:00:00,12594.0,12600.0,12590.0,12600.0,13816
2025-09-22 05:30:00,12695.0,12700.0,12594.0,12598.0,50179
2025-09-22 06:00:00,12682.0,12697.0,12661.0,12695.0,33212
2025-09-22 06:30:00,12660.0,12683.0,12650.0,12680.0,28589
2025-09-22 07:00:00,12659.0,12670.0,12640.0,12660.0,41271
2025-09-22 07:30:00,12664.0,12674.0,12656.0,12659.0,6995
2025-09-22 08:00:00,12684.0,12706.0,12657.0,12664.0,78793
2025-09-22 08:30:00,12677.0,12700.0,12676.0,12684.0,14080
2025-09-22 09:00:00,12644.0,12700.0,12639.0,12678.0,27726
2025-09-22 09:30:00,12642.0,12665.0,12635.0,12646.0,44916
2025-09-23 04:00:00,12407.0,12462.0,12399.0,12455.0,35624
2025-09-23 04:30:00,12413.0,12437.0,12381.0,12400.0,16030
2025-09-23 05:00:00,12422.0,12430.0,12395.0,12413.0,12098
2025-09-23 05:30:00,12412.0,12430.0,12380.0,12425.0,20309
2025-09-23 06:00:00,12397.0,12424.0,12390.0,12412.0,18583
2025-09-23 06:30:00,12400.0,12405.0,12363.0,12399.0,51820
2025-09-23 07:00:00,12426.0,12439.0,12394.0,12399.0,20771
2025-09-23 07:30:00,12430.0,12445.0,12410.0,12426.0,29715
2025-09-23 08:00:00,12410.0,12445.0,12408.0,12430.0,28247
2025-09-23 08:30:00,12418.0,12432.0,12396.0,12408.0,29991
2025-09-23 09:00:00,12430.0,12440.0,12410.0,12417.0,30727
2025-09-23 09:30:00,12393.0,12433.0,12385.0,12423.0,68217
2025-09-24 04:00:00,12341.0,12360.0,12324.0,12340.0,10146
2025-09-24 04:30:00,12377.0,12377.0,12336.0,12346.0,5753
